,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_lang,user_location,user_name,user_statuses_count
0,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Sun Apr 05 23:26:20 +0000 2009,"Whatever the mind can conceive and believe, the mind can achieve.",11609,310,549,en,"Honolulu, Hawaii (Paradise)",W. Bruce Savaille,12817
1,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",923925428372492288,Sun Apr 26 16:42:29 +0000 2009,"Christian, Independant conservative. I believe all people are equal. Walk with integrity, do what is right, and speak with honesty - Psalm 15:2 #MAGA",34,262,299,en,,Danny,1886
2,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",923925428372492288,Sat Nov 26 23:12:54 +0000 2016,"video games, sports",666,10,55,en,United States,Randwarblob,60
3,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Sat Dec 26 04:05:07 +0000 2015,,11431,2787,4424,en,,Nick,27301
4,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Mon Jun 19 09:39:33 +0000 2017,"100 percent, trump all the way😊😊😊",9806,843,1453,en,,Anna barbe,17384
5,,0,,en,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",923925428372492288,Thu Mar 24 23:46:06 +0000 2016,,17332,360,386,en,"Naples, FL",Kate M. Colasanti,17350
6,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Fri Mar 11 05:46:55 +0000 2016,,856,40,99,en,,Annie Bee,618
7,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",923925428372492288,Tue Dec 08 17:00:24 +0000 2015,,1540,13,13,en,,aron johnsdon,1262
8,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Thu Oct 19 23:43:48 +0000 2017,Grateful American  believes the best is yet to be loves nature and animals. If you like what I have to say please retweet it is the way to save our great nation,57,278,445,en,,Terpsicore,2898
9,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Mon Mar 05 19:46:37 +0000 2012,Our Government Needs to Work For The People Again,16037,899,402,en,Basket Of Deplorables,TnTrumpTrain,33491
10,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",923925428372492288,Fri Nov 13 15:34:35 +0000 2015,#MAGA Trump supporter hoping those involved in #Pedogate are arrested soon! #SaveOurKids,30198,2620,4713,en,,proudmomma🇺🇸,26218
